trial,generation,bestSize,runtime,profit,distance,structureDistance,plan,scenario,averageSize
0,0,20,4523,2992.232461267626,9.277687687687688,7.293619619619619,long,fourserv,70.0
0,1,20,3842,2992.232461267626,12.269069069069069,9.691055055055054,long,fourserv,67.0
0,2,20,3789,2992.4892417883552,11.792426426426426,8.883821821821822,long,fourserv,68.0
0,3,20,4013,2992.7266120363975,9.511655655655655,6.903021021021021,long,fourserv,72.0
0,4,20,5358,2992.7266120363975,7.814712712712713,5.924278278278278,long,fourserv,72.0
0,5,20,5951,2992.777403959284,7.990854854854855,5.778946946946947,long,fourserv,74.0
0,6,20,6165,2992.805793346855,8.691001001001,6.032094094094094,long,fourserv,73.0
0,7,20,5298,2992.805793346855,7.719755755755756,5.282876876876877,long,fourserv,73.0
0,8,20,4684,2992.805793346855,6.878068068068068,5.2402462462462465,long,fourserv,73.0
0,9,20,5409,2992.805820844553,7.171981981981982,5.726018018018018,long,fourserv,75.0
0,10,20,5577,2992.834210232124,7.153935935935936,5.9693793793793795,long,fourserv,76.0
0,11,20,4725,2992.834210232124,6.688782782782782,5.789127127127127,long,fourserv,76.0
0,12,20,4488,2992.834210232124,6.733119119119119,5.874330330330331,long,fourserv,77.0
0,13,20,5397,2992.834210232124,7.834474474474474,6.9368048048048045,long,fourserv,77.0
0,14,20,5693,2992.8370491708806,6.749625625625626,5.779385385385385,long,fourserv,79.0
0,15,20,4717,2992.8363061217524,6.738362362362363,5.863981981981982,long,fourserv,79.0
0,16,20,4657,2992.8363061217524,6.222740740740741,5.451945945945946,long,fourserv,80.0
0,17,20,5557,2992.8363061217524,6.579851851851852,5.800478478478478,long,fourserv,81.0
0,18,20,5749,2992.836044724623,6.8352612612612615,6.008408408408409,long,fourserv,81.0
0,19,20,4738,2992.8416547839934,6.2671831831831835,5.2842442442442445,long,fourserv,83.0
0,20,20,4948,2992.8416547839934,6.1307467467467465,4.971597597597597,long,fourserv,84.0
0,21,20,4926,2992.8416547839934,7.748502502502503,6.525133133133133,long,fourserv,82.0
0,22,20,5332,2992.8432891896477,6.559951951951952,5.221485485485485,long,fourserv,84.0
0,23,20,4850,2992.8432891896477,7.0158858858858855,5.757733733733733,long,fourserv,84.0
0,24,20,4884,2992.8432891896477,6.366414414414415,4.9121941941941945,long,fourserv,85.0
0,25,20,4885,2992.8437507171716,7.320614614614614,6.03225025025025,long,fourserv,83.0
0,26,20,4750,2992.8437507171716,7.114842842842843,5.737255255255255,long,fourserv,83.0
0,27,20,5824,2992.8437507171716,6.746486486486487,5.2197937937937935,long,fourserv,84.0
0,28,20,5261,2992.8437507171716,5.87783983983984,4.3258078078078075,long,fourserv,85.0
0,29,20,5251,2992.8437507171716,6.621385385385385,5.037505505505505,long,fourserv,86.0
0,30,20,4826,2992.8436089982547,6.010354354354354,4.4800760760760765,long,fourserv,86.0
0,31,20,6121,2992.8436089982547,5.743205205205205,4.414442442442443,long,fourserv,86.0
0,32,20,4884,2992.845237616686,6.281625625625626,5.007349349349349,long,fourserv,85.0
0,33,20,5632,2992.845237616686,6.2046186186186185,4.9584604604604605,long,fourserv,85.0
0,34,20,5357,2992.845237616686,5.815413413413413,4.692084084084084,long,fourserv,85.0
0,35,20,5875,2992.845237616686,5.518850850850851,4.71439039039039,long,fourserv,85.0
0,36,20,5241,2992.845237616686,5.07832032032032,4.236162162162162,long,fourserv,86.0
0,37,20,4965,2992.845237616686,5.240576576576577,4.41988988988989,long,fourserv,86.0
0,38,20,5131,2992.845237616686,5.98172972972973,5.3082882882882885,long,fourserv,85.0
0,39,20,9879,2992.845237616686,6.065587587587587,5.297357357357358,long,fourserv,85.0
0,40,20,5687,2992.845237616686,6.125731731731732,5.30774974974975,long,fourserv,85.0
0,41,20,5733,2992.845237616686,6.300950950950951,5.517551551551551,long,fourserv,85.0
0,42,20,5171,2992.845237616686,5.576762762762763,4.869031031031031,long,fourserv,85.0
0,43,20,5187,2992.845237616686,5.57780980980981,4.852628628628628,long,fourserv,85.0
0,44,20,6015,2992.845237616686,5.382046046046046,4.65141941941942,long,fourserv,85.0
0,45,20,4968,2992.845237616686,5.145055055055055,4.339793793793794,long,fourserv,85.0
0,46,20,5045,2992.845237616686,5.664184184184184,4.947299299299299,long,fourserv,85.0
0,47,20,5835,2992.845237616686,5.419067067067067,4.714962962962963,long,fourserv,85.0
0,48,20,6295,2992.845237616686,5.281847847847848,4.6153713713713715,long,fourserv,86.0
0,49,20,5134,2992.845237616686,5.281847847847848,4.6153713713713715,long,fourserv,86.0
1,0,20,3960,2992.232461267626,9.580366366366366,7.580182182182182,long,fourserv,70.0
1,1,20,4108,2992.232461267626,12.18113913913914,9.649039039039039,long,fourserv,66.0
1,2,20,3195,2992.232461267626,11.689187187187187,8.977115115115115,long,fourserv,68.0
1,3,20,3152,2992.232461267626,9.948668668668669,7.544676676676676,long,fourserv,71.0
1,4,18,3860,2992.37859328051,8.698936936936937,6.634966966966967,long,fourserv,73.0
1,5,20,5144,2992.777403959284,8.070024024024024,6.442624624624624,long,fourserv,73.0
1,6,20,6041,2992.777403959284,8.8368008008008,6.627051051051051,long,fourserv,72.0
1,7,20,4522,2992.777403959284,7.824992992992993,5.1822102102102106,long,fourserv,73.0
1,8,20,4835,2992.8043466973063,7.721303303303303,5.3784564564564565,long,fourserv,74.0
1,9,20,5733,2992.834210232124,7.777787787787788,6.135019019019019,long,fourserv,73.0
1,10,20,5110,2992.834210232124,7.022528528528529,5.728478478478478,long,fourserv,74.0
