generations,popSize,crossoverChance,mutationChance,reproductionChance,killRatio,invalidActionPenalty,verbosenessPenalty,minAcceptedImprovement,size,runtime,profit
30,1000,1.0,0.0,0.0,0.0,0.0,0.1,0.001,14,12031,2991.36846692276
30,1000,1.0,0.0,0.0,0.0,0.0,0.1,0.001,13,12210,2991.347420971831
30,1000,1.0,0.0,0.0,0.0,0.0,0.1,0.001,16,9984,2992.1913980380314
30,1000,1.0,0.0,0.0,0.0,0.0,0.1,0.001,14,12299,2992.2055967553124
30,1000,1.0,0.0,0.0,0.0,0.0,0.1,0.001,14,12455,2991.368466922759
30,1000,1.0,0.0,0.0,0.0,0.0,0.1,0.001,13,10745,2990.8600759755213
30,1000,1.0,0.0,0.0,0.0,0.0,0.1,0.001,14,10964,2991.3684669227596
30,1000,1.0,0.0,0.0,0.0,0.0,0.1,0.001,14,11160,2991.3684669227596
30,1000,1.0,0.0,0.0,0.0,0.0,0.1,0.001,14,12083,2992.0537647463516
30,1000,1.0,0.0,0.0,0.0,0.0,0.1,0.001,16,9605,2992.823847829683
30,1000,1.0,0.0,0.0,0.0,0.0,0.01,0.001,15,10503,2991.5691867201867
30,1000,1.0,0.0,0.0,0.0,0.0,0.01,0.001,17,11694,2991.465448716251
30,1000,1.0,0.0,0.0,0.0,0.0,0.01,0.001,18,10341,2992.585895167183
30,1000,1.0,0.0,0.0,0.0,0.0,0.01,0.001,16,12282,2991.4919931871486
30,1000,1.0,0.0,0.0,0.0,0.0,0.01,0.001,15,12771,2991.4820095075347
30,1000,1.0,0.0,0.0,0.0,0.0,0.01,0.001,15,11610,2991.482009507535
30,1000,1.0,0.0,0.0,0.0,0.0,0.01,0.001,16,12956,2991.49199318715
30,1000,1.0,0.0,0.0,0.0,0.0,0.01,0.001,15,10465,2991.482009507535
30,1000,1.0,0.0,0.0,0.0,0.0,0.01,0.001,20,11002,2992.785164031099
30,1000,1.0,0.0,0.0,0.0,0.0,0.01,0.001,19,11754,2992.8244656801417
30,1000,1.0,0.0,0.0,0.0,0.0,0.0,0.001,19,10381,2992.156806521101
30,1000,1.0,0.0,0.0,0.0,0.0,0.0,0.001,20,14679,2992.2255906061523
30,1000,1.0,0.0,0.0,0.0,0.0,0.0,0.001,20,12487,2992.8720682479207
30,1000,1.0,0.0,0.0,0.0,0.0,0.0,0.001,16,11760,2991.472215243349
30,1000,1.0,0.0,0.0,0.0,0.0,0.0,0.001,16,13037,2991.493363766012
30,1000,1.0,0.0,0.0,0.0,0.0,0.0,0.001,14,13362,2990.9794177844797
30,1000,1.0,0.0,0.0,0.0,0.0,0.0,0.001,20,10733,2992.008494172268
30,1000,1.0,0.0,0.0,0.0,0.0,0.0,0.001,17,10934,2992.53850750938
30,1000,1.0,0.0,0.0,0.0,0.0,0.0,0.001,19,11789,2992.086659962296
