trial,generation,bestSize,runtime,profit,distance,structureDistance,plan,init,window,buildProb,runtimeKill,trimmerChance,scenario,averageSize
0,0,12,808,2.0465744804501355E7,7.747211211211211,5.671183183183183,long,trimmer,10000,0.9,0.75,0.0,fourserv,12.0
0,1,12,52,2.0465744804501355E7,8.865389389389389,6.603389389389389,long,trimmer,10000,0.9,0.75,0.0,fourserv,14.0
0,2,12,29,2.0465744804501355E7,11.067137137137138,8.42093093093093,long,trimmer,10000,0.9,0.75,0.0,fourserv,18.0
0,3,20,70,2.1412759815000013E7,13.677967967967968,10.525245245245245,long,trimmer,10000,0.9,0.75,0.0,fourserv,23.0
0,4,13,67,2.24151391629E7,15.105593593593593,11.22590990990991,long,trimmer,10000,0.9,0.75,0.0,fourserv,26.0
0,5,18,88,2.3186076733042467E7,14.347603603603604,10.437497497497498,long,trimmer,10000,0.9,0.75,0.0,fourserv,26.0
0,6,18,153,2.3186076733042467E7,14.838248248248249,10.81277077077077,long,trimmer,10000,0.9,0.75,0.0,fourserv,27.0
0,7,18,252,2.3186076733042467E7,16.454656656656656,12.196338338338338,long,trimmer,10000,0.9,0.75,0.0,fourserv,31.0
0,8,15,363,2.6935065074341528E7,17.98857057057057,13.491589589589589,long,trimmer,10000,0.9,0.75,0.0,fourserv,38.0
0,9,15,473,2.6933412775038537E7,17.847209209209208,13.235677677677678,long,trimmer,10000,0.9,0.75,0.0,fourserv,46.0
0,10,15,627,2.7201262122149546E7,17.374902902902903,12.853827827827828,long,trimmer,10000,0.9,0.75,0.0,fourserv,50.0
0,11,15,907,2.7199583543186076E7,17.600234234234236,13.119123123123122,long,trimmer,10000,0.9,0.75,0.0,fourserv,48.0
0,12,15,1096,2.719790496422261E7,17.871527527527526,13.393671671671672,long,trimmer,10000,0.9,0.75,0.0,fourserv,47.0
0,13,17,1196,2.8798973138002947E7,17.881217217217216,13.478126126126126,long,trimmer,10000,0.9,0.75,0.0,fourserv,47.0
0,14,17,1611,2.8797129535160877E7,18.49961961961962,14.03562162162162,long,trimmer,10000,0.9,0.75,0.0,fourserv,42.0
0,15,15,2408,2.879159872663467E7,17.36288888888889,13.279819819819819,long,trimmer,10000,0.9,0.75,0.0,fourserv,37.0
0,16,19,3034,2.8804537144078538E7,16.258498498498497,12.446138138138139,long,trimmer,10000,0.9,0.75,0.0,fourserv,33.0
0,17,19,3642,2.918167016201959E7,15.75377977977978,11.920276276276276,long,trimmer,10000,0.9,0.75,0.0,fourserv,33.0
0,18,18,5102,2.9172248795354392E7,16.218354354354354,12.42196996996997,long,trimmer,10000,0.9,0.75,0.0,fourserv,34.0
0,19,20,4956,2.9378177071625095E7,16.677913913913915,12.69955955955956,long,trimmer,10000,0.9,0.75,0.0,fourserv,35.0
0,20,20,6342,2.9364845936784387E7,16.520972972972974,12.546164164164164,long,trimmer,10000,0.9,0.75,0.0,fourserv,35.0
0,21,18,7491,2.9351514801943682E7,16.286082082082082,12.434986986986987,long,trimmer,10000,0.9,0.75,0.0,fourserv,35.0
0,22,18,8552,2.9334374771434203E7,15.016706706706707,11.654862862862863,long,trimmer,10000,0.9,0.75,0.0,fourserv,32.0
0,23,18,9943,2.9315330293090336E7,15.117119119119119,12.161365365365365,long,trimmer,10000,0.9,0.75,0.0,fourserv,32.0
0,24,18,10477,2.929628581474647E7,12.652466466466466,10.000694694694694,long,trimmer,10000,0.9,0.75,0.0,fourserv,28.0
0,25,20,10795,2.9280655799535464E7,12.371943943943943,9.814096096096096,long,trimmer,10000,0.9,0.75,0.0,fourserv,27.0
0,26,20,11954,2.9257795911905963E7,10.672832832832833,8.392024024024025,long,trimmer,10000,0.9,0.75,0.0,fourserv,25.0
0,27,20,10852,2.9236841014912255E7,10.500574574574575,8.283431431431431,long,trimmer,10000,0.9,0.75,0.0,fourserv,25.0
0,28,20,11929,2.9213981127282757E7,9.410616616616617,7.247231231231231,long,trimmer,10000,0.9,0.75,0.0,fourserv,24.0
0,29,20,12995,2.9189216249017466E7,9.410616616616617,7.247231231231231,long,trimmer,10000,0.9,0.75,0.0,fourserv,24.0
0,0,20,4810,2.3888652996418327E7,12.58343943943944,10.264288288288288,long,mutator,10000,0.9,0.75,0.0,fourserv,28.0
0,1,20,9912,2.3875219435099117E7,10.809157157157157,8.583545545545546,long,mutator,10000,0.9,0.75,0.0,fourserv,33.0
0,2,20,13379,2.385641244925222E7,10.100522522522523,7.852414414414414,long,mutator,10000,0.9,0.75,0.0,fourserv,30.0
0,3,18,15564,2.6199072995186813E7,9.64293093093093,7.16397997997998,long,mutator,10000,0.9,0.75,0.0,fourserv,28.0
0,4,19,17385,2.9207925663723905E7,10.170986986986987,7.5316996996997,long,mutator,10000,0.9,0.75,0.0,fourserv,29.0
0,5,19,20484,2.917001999736983E7,10.85911911911912,8.149077077077077,long,mutator,10000,0.9,0.75,0.0,fourserv,31.0
0,6,19,21504,2.912832376438034E7,11.135671671671671,8.425303303303304,long,mutator,10000,0.9,0.75,0.0,fourserv,30.0
