trial,generation,bestSize,runtime,profit,distance,structureDistance,plan,init,buildProb,runtimeKill,scenario,averageSize
0,0,12,998,3.853301884894561E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,14.0
0,1,15,503,4.290273732388802E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,19.0
0,2,16,556,4.266048966672001E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,21.0
0,3,16,667,4.266048966672001E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,20.0
0,4,18,842,4.300075779888002E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,18.0
0,5,18,1248,4.321712877421441E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,17.0
0,6,16,1406,4.460149366222914E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,17.0
0,7,16,1805,4.460149366222914E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,17.0
0,8,16,1825,4.460149366222914E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,17.0
0,9,18,1867,4.527968782536501E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,17.0
0,10,18,1986,4.527968782536501E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,18.0
0,11,18,2320,4.527968782536501E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,18.0
0,12,18,2209,4.527968782536501E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,19.0
0,13,16,3127,4.55419927926967E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,19.0
0,14,16,3398,4.6744809600000024E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,19.0
0,15,16,3620,4.6744809600000024E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,20.0
0,16,16,3695,4.6744809600000024E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,21.0
0,17,20,3100,4.7329253865128025E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,20.0
0,18,20,3674,4.7329253865128025E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,20.0
0,19,20,5118,4.7329253865128025E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,20.0
0,20,16,4708,4.865992677387338E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,20.0
0,21,16,5142,4.865992677387338E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,20.0
0,22,16,6817,4.865992677387338E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,19.0
0,23,16,7636,4.829209945816162E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,18.0
0,24,16,7804,4.829209945816162E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,18.0
0,25,16,8213,4.829209945816162E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,18.0
0,26,20,7880,4.8680373158640824E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,17.0
0,27,20,9178,4.8680373158640824E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,17.0
0,28,20,10483,4.8680373158640824E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,17.0
0,29,20,10712,4.8680373158640824E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,17.0
0,0,5,118,1062.3,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,14.0
0,0,2,72,1.0623E7,-1.0,-1.0,long,trimmer,0.5,0.5,requestsfourserv,14.0
0,0,2,75,1.0623E7,-1.0,-1.0,long,trimmer,0.75,0.5,requestsfourserv,14.0
0,0,2,73,8972290.9125,-1.0,-1.0,long,trimmer,0.9,0.5,requestsfourserv,14.0
0,0,20,46729,4.250108186347568E7,-1.0,-1.0,long,mutator,0.0,0.5,requestsfourserv,37.0
0,1,20,51008,4.307536735425424E7,-1.0,-1.0,long,mutator,0.0,0.5,requestsfourserv,35.0
0,2,18,45201,4.426692355779601E7,-1.0,-1.0,long,mutator,0.0,0.5,requestsfourserv,34.0
0,3,18,42430,4.426692355779601E7,-1.0,-1.0,long,mutator,0.0,0.5,requestsfourserv,33.0
0,4,15,37812,4.511486783178515E7,-1.0,-1.0,long,mutator,0.0,0.5,requestsfourserv,32.0
0,5,18,31301,4.585748703648003E7,-1.0,-1.0,long,mutator,0.0,0.5,requestsfourserv,32.0
0,6,18,29310,4.585748703648003E7,-1.0,-1.0,long,mutator,0.0,0.5,requestsfourserv,32.0
0,7,20,23392,4.6300356390480004E7,-1.0,-1.0,long,mutator,0.0,0.5,requestsfourserv,32.0
0,8,19,23863,4.762538709168001E7,-1.0,-1.0,long,mutator,0.0,0.5,requestsfourserv,31.0
0,9,19,26468,4.762538709168001E7,-1.0,-1.0,long,mutator,0.0,0.5,requestsfourserv,31.0
0,10,19,26824,4.762538709168001E7,-1.0,-1.0,long,mutator,0.0,0.5,requestsfourserv,32.0
0,11,19,28556,4.762538709168001E7,-1.0,-1.0,long,mutator,0.0,0.5,requestsfourserv,33.0
0,12,19,32134,4.762538709168001E7,-1.0,-1.0,long,mutator,0.0,0.5,requestsfourserv,34.0
